date,var1,var2
09/2015,-0.659253965,-2.644281962
10/2015,-0.110792359,8.298307839
11/2015,3.351916019,0.050496307
12/2015,-0.460061384,-1.753019837
01/2016,0.552031014,-5.073534448
02/2016,-1.835845449,-0.412835526
03/2016,-0.748136356,6.599110872
04/2016,-2.019682181,0.269936982
05/2016,-0.022814302,1.532949208
06/2016,0.181339495,0.090607355
07/2016,1.971478719,3.560980723
08/2016,-1.186930158,-0.121917556
09/2016,0.118893602,-0.12344826
10/2016,2.196937949,-1.942562504
11/2016,2.088366299,3.417444677
12/2016,2.390039386,1.820075404
01/2017,-0.625253463,1.788434137
02/2017,-0.72315751,3.719826054
03/2017,0.176899964,-0.038923017
04/2017,-0.767514964,0.90912169
05/2017,-1.712489097,1.157621005
06/2017,-1.316092475,0.481383199
07/2017,-2.033038604,1.934876888
08/2017,-1.971219799,0.054649233
09/2017,-0.918735366,1.930289483
10/2017,1.437222508,2.218817477
11/2017,0.398986318,2.808260137
12/2017,-0.606355216,0.983161982
01/2018,-2.74643369,5.617872465
02/2018,-1.375673627,-3.89473796
03/2018,0.262224947,-2.688451377
04/2018,0.348658773,0.2718801
05/2018,3.425552363,2.160835332
06/2018,1.167950549,0.48424002
07/2018,0.231844192,3.602158647
08/2018,0.809222823,3.026321863
09/2018,-0.600264395,0.429430092
10/2018,1.058894862,-6.940335898
11/2018,1.01090805,1.78593818
12/2018,0.187416606,-9.177695577
01/2019,-1.004474452,7.868440473
02/2019,0.517643878,2.972893014
03/2019,0.276386148,1.792428775
04/2019,0.639682673,3.931343494
05/2019,0.395477947,-6.577772648
06/2019,-0.860962687,6.893018321
07/2019,0.372023,1.312819537
08/2019,0.757579825,-1.809165274
09/2019,0.63393692,1.718116769
10/2019,-0.348509229,2.043174748
11/2019,-0.232548665,3.404706409
12/2019,-0.599568025,2.858980318
01/2020,-0.04404969,-0.162808981
02/2020,1.488959137,-8.411046901
03/2020,-0.14687745,-12.51193208
04/2020,1.209299322,12.68441029
05/2020,-0.264058864,4.528177501
06/2020,-2.51780146,1.838840328
07/2020,-1.416225579,5.510129698
08/2020,-2.791025268,7.006468732
09/2020,0.284582351,-3.92279541
10/2020,0.073342162,-2.766577461
11/2020,-0.784795055,10.75456581
12/2020,-2.273200241,3.712140666
01/2021,-0.414490298,-1.113664016
02/2021,0.472783357,2.609147497
03/2021,1.441006647,4.243863401
04/2021,-0.217899498,5.242531256
05/2021,-1.469142812,0.548650258
06/2021,0.630077611,2.221397632
07/2021,1.732751949,2.274810937
08/2021,0.281072769,2.899032139
09/2021,0.126155172,-4.756914042
10/2021,1.178532466,6.91438733
11/2021,1.34085598,-0.833373142
12/2021,0.995598235,4.361287497
01/2022,-0.313118982,-5.258508911
02/2022,0.154548818,-3.136052087
03/2022,2.454013164,3.577323877
04/2022,2.115027412,-8.795671915
05/2022,2.641276324,0.005324388
06/2022,0.578347257,-8.391999322
07/2022,3.0221275,9.111634763
08/2022,0.135089621,-4.244011922
09/2022,3.284921463,-9.339570164
10/2022,1.27373161,7.986345458
11/2022,-3.18495884,5.375286029
12/2022,-3.469394661,-5.89714493
01/2023,-1.775664256,6.17528324
02/2023,0.743815973,-2.611244665
03/2023,0.32946954,3.505157236
04/2023,-1.986957432,1.464236088
05/2023,0.83522232,0.248232393
06/2023,0.468867135,6.472751284
07/2023,-1.621399375,3.113891398
08/2023,1.535869384,-1.771643248
09/2023,2.057594487,-4.871929116
10/2023,1.139403963,-2.197968774
11/2023,-1.615565301,8.917926463
12/2023,-1.778374392,4.42291694
01/2024,0.095926601,1.589574471
